Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,1.567051,1.594298,1.402785,1.588030,1.588030,4318242183
2021-06-09,1.583486,1.630414,1.485165,1.624826,1.624826,3551319865
2021-06-10,1.627778,1.635973,1.508578,1.531857,1.531857,2366588153
2021-06-11,1.533137,1.546059,1.420852,1.436378,1.436378,2477031735
2021-06-12,1.437721,1.493530,1.358179,1.480220,1.480220,2801038421
2021-06-13,1.480494,1.578513,1.402935,1.558359,1.558359,2785909000
2021-06-14,1.557019,1.592704,1.510411,1.575110,1.575110,2543903347
2021-06-15,1.573870,1.611401,1.545383,1.597756,1.597756,2553205553
2021-06-16,1.556580,1.575438,1.475047,1.482573,1.482573,2139361752
2021-06-17,1.484558,1.538465,1.459475,1.482194,1.482194,1731974000
2021-06-18,1.482789,1.493233,1.379673,1.415396,1.415396,2128905021
2021-06-19,1.417603,1.442877,1.386422,1.390570,1.390570,1829155405
2021-06-20,1.387408,1.460376,1.308951,1.429188,1.429188,2319196952
2021-06-21,1.427028,1.436257,1.170604,1.177480,1.177480,3987752749
2021-06-22,1.175233,1.263039,1.002985,1.153254,1.153254,5960971784
2021-06-23,1.155804,1.305561,1.111894,1.252896,1.252896,4931021068
2021-06-24,1.251410,1.398589,1.206899,1.356087,1.356087,3368353999
2021-06-25,1.359522,1.392683,1.245304,1.256478,1.256478,4343177013
2021-06-26,1.254301,1.291396,1.198573,1.250440,1.250440,3241467640
2021-06-27,1.251827,1.348168,1.243678,1.335202,1.335202,2371576551
2021-06-28,1.337114,1.349285,1.305406,1.324752,1.324752,2292440816
2021-06-29,1.325513,1.419944,1.320304,1.368437,1.368437,2589787987
2021-06-30,1.372968,1.398117,1.287063,1.383472,1.383472,2591116345
2021-07-01,1.383814,1.383814,1.304074,1.335611,1.335611,2002167965
2021-07-02,1.332942,1.394397,1.286607,1.394397,1.394397,2159409781
2021-07-03,1.394152,1.441714,1.359664,1.406836,1.406836,2028094099
2021-07-04,1.404008,1.493717,1.382153,1.458184,1.458184,1806362471
2021-07-05,1.461221,1.461221,1.379284,1.404898,1.404898,1759460737
2021-07-06,1.404712,1.456887,1.393282,1.418053,1.418053,1477699691
2021-07-07,1.416153,1.440113,1.401327,1.403118,1.403118,1349405773
2021-07-08,1.404166,1.405490,1.346628,1.363318,1.363318,1487885824
