Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,596.839417,604.398865,545.180847,597.092285,597.092285,2877121838
2021-06-09,596.090210,634.634521,567.780212,633.143494,633.143494,2424388228
2021-06-10,633.947144,638.723938,591.910156,602.846130,602.846130,1940156625
2021-06-11,602.611633,611.405029,571.809998,578.271545,578.271545,1715350886
2021-06-12,578.750305,589.978699,549.895691,580.533142,580.533142,1786736797
2021-06-13,580.489624,615.134399,560.099854,614.354919,614.354919,1578903640
2021-06-14,613.849426,640.246338,600.449646,625.369507,625.369507,1552154786
2021-06-15,637.448914,649.899475,617.982422,639.204590,639.204590,1736113953
2021-06-16,628.063171,628.063171,591.179321,593.046631,593.046631,1629936616
2021-06-17,593.291138,620.491638,585.654236,599.357910,599.357910,1426459812
2021-06-18,599.703552,599.703552,546.919189,563.286804,563.286804,1642573263
2021-06-19,563.976379,581.627747,553.480774,554.896729,554.896729,1287962730
2021-06-20,553.901917,561.105042,516.160339,557.529602,557.529602,1468001206
2021-06-21,556.513123,559.435303,455.375183,456.293457,456.293457,2170476053
2021-06-22,455.737396,476.146393,390.002350,443.783264,443.783264,2651277002
2021-06-23,444.243347,485.892639,430.044800,469.375641,469.375641,1925034930
2021-06-24,473.377472,495.958008,457.011658,486.207886,486.207886,1423583436
2021-06-25,487.115601,496.776855,450.064270,451.918152,451.918152,1625824115
2021-06-26,450.744568,463.964294,429.425537,458.776184,458.776184,1549850152
2021-06-27,459.337433,477.916931,447.867401,476.887299,476.887299,1445433765
2021-06-28,477.548187,516.450745,473.368103,500.670563,500.670563,1466070100
2021-06-29,501.242767,546.615112,500.387634,522.271362,522.271362,1747410969
2021-06-30,523.698120,533.682312,499.342621,526.295837,526.295837,1693524407
2021-07-01,526.420227,526.420227,487.296112,498.193573,498.193573,1766801086
2021-07-02,496.732788,503.970154,476.852844,496.349762,496.349762,1204691392
2021-07-03,496.156158,514.319946,489.528564,505.319977,505.319977,1158357445
2021-07-04,505.223785,539.774963,495.925415,526.429688,526.429688,1413797953
2021-07-05,526.767578,526.864868,490.624237,505.055450,505.055450,1522255823
2021-07-06,504.818329,525.485352,500.918182,511.667114,511.667114,1393837450
2021-07-07,511.526672,537.083069,505.756989,508.864532,508.864532,1584424878
2021-07-08,510.083557,510.482391,481.158203,495.615265,495.615265,1658706432
