Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,1.000729,1.001634,1.000399,1.001190,1.001190,96727203765
2021-06-09,1.001213,1.001559,1.000231,1.000572,1.000572,92231696007
2021-06-10,1.000532,1.001039,1.000165,1.000738,1.000738,72706032485
2021-06-11,1.000764,1.000998,0.999946,1.000511,1.000511,62233050872
2021-06-12,1.000485,1.001211,1.000096,1.001140,1.001140,62020661713
2021-06-13,1.001137,1.001292,0.999569,0.999733,0.999733,62855843708
2021-06-14,0.999695,1.000782,0.999617,1.000626,1.000626,64693139740
2021-06-15,1.000465,1.010425,0.999743,1.000377,1.000377,69666548571
2021-06-16,1.000388,1.000911,0.999388,1.000023,1.000023,60779453764
2021-06-17,1.000112,1.000745,0.999742,1.000745,1.000745,55428282562
2021-06-18,1.000704,1.002000,0.999879,1.001749,1.001749,58250506049
2021-06-19,1.001646,1.001996,1.000382,1.001451,1.001451,48324762375
2021-06-20,1.001548,1.001612,1.000348,1.000875,1.000875,57176763747
2021-06-21,1.000914,1.001782,0.999953,1.000089,1.000089,90616591970
2021-06-22,1.000156,1.001777,0.999896,1.001002,1.001002,101175206595
2021-06-23,1.000962,1.001142,1.000390,1.000746,1.000746,78451207170
2021-06-24,1.000726,1.000984,0.999908,1.000149,1.000149,54635236494
2021-06-25,1.000093,1.000583,0.998953,0.999845,0.999845,66436810480
2021-06-26,0.999855,1.001321,0.999686,1.001214,1.001214,60323833680
2021-06-27,1.001260,1.002000,1.000524,1.000642,1.000642,53158745469
2021-06-28,1.000689,1.000803,0.999883,0.999928,0.999928,56773812735
2021-06-29,0.999951,1.000811,0.999901,1.000024,1.000024,64868482234
2021-06-30,1.000053,1.000634,0.999706,1.000216,1.000216,62591206838
2021-07-01,1.000201,1.000640,0.999997,1.000226,1.000226,54577458289
2021-07-02,1.000301,1.000830,0.999991,1.000033,1.000033,45626594041
2021-07-03,1.000046,1.000674,0.999914,0.999956,0.999956,41194990425
2021-07-04,0.999987,1.000165,0.998902,0.999501,0.999501,43066655708
2021-07-05,0.999426,1.001040,0.999426,1.000667,1.000667,47215849676
2021-07-06,1.000728,1.000879,0.999825,1.000090,1.000090,51054194253
2021-07-07,1.000022,1.000792,0.999772,1.000708,1.000708,50370827531
2021-07-08,1.000594,1.001365,0.999809,0.999950,0.999950,54862462976
