Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,0.862781,0.885498,0.788643,0.875788,0.875788,4491339501
2021-06-09,0.874058,0.920034,0.832331,0.920034,0.920034,3990884688
2021-06-10,0.921324,0.927827,0.853797,0.869182,0.869182,3157272780
2021-06-11,0.869247,0.879191,0.835943,0.848450,0.848450,2502880892
2021-06-12,0.847879,0.847879,0.807698,0.832683,0.832683,2731548390
2021-06-13,0.833252,0.888077,0.819273,0.883160,0.883160,3059837086
2021-06-14,0.883048,0.926110,0.863815,0.892897,0.892897,3005221040
2021-06-15,0.887069,0.902253,0.860290,0.889800,0.889800,3585820721
2021-06-16,0.866854,0.873375,0.827554,0.831908,0.831908,2916163481
2021-06-17,0.831733,0.861429,0.825875,0.841438,0.841438,2684672890
2021-06-18,0.842324,0.844920,0.774985,0.797648,0.797648,2509639518
2021-06-19,0.798306,0.806869,0.758710,0.761673,0.761673,2208439278
2021-06-20,0.760377,0.784295,0.699372,0.776377,0.776377,3068578656
2021-06-21,0.774795,0.779790,0.605175,0.610388,0.610388,4048720475
2021-06-22,0.607232,0.648919,0.512710,0.545067,0.545067,4784173339
2021-06-23,0.546944,0.660549,0.523663,0.626535,0.626535,4239151745
2021-06-24,0.638590,0.691010,0.617382,0.672000,0.672000,2781916002
2021-06-25,0.672911,0.688469,0.603383,0.613323,0.613323,3120943105
2021-06-26,0.611586,0.631676,0.582415,0.615435,0.615435,2458620798
2021-06-27,0.616994,0.651772,0.597642,0.646923,0.646923,2329301222
2021-06-28,0.648285,0.654445,0.624551,0.643746,0.643746,2323398761
2021-06-29,0.643941,0.727726,0.642351,0.701725,0.701725,3325816845
2021-06-30,0.705681,0.713673,0.649456,0.706374,0.706374,3097076849
2021-07-01,0.704785,0.704785,0.646796,0.661180,0.661180,2553971177
2021-07-02,0.659890,0.667287,0.634726,0.656763,0.656763,2061607208
2021-07-03,0.655639,0.683677,0.644653,0.672888,0.672888,1872819597
2021-07-04,0.673218,0.707783,0.665802,0.694945,0.694945,1885241527
2021-07-05,0.695653,0.695653,0.648492,0.654300,0.654300,2076373188
2021-07-06,0.653055,0.679923,0.652676,0.665402,0.665402,1938959239
2021-07-07,0.665256,0.673307,0.651017,0.651575,0.651575,2077976604
2021-07-08,0.653059,0.653584,0.613988,0.629513,0.629513,2389847808
