Date,Open,High,Low,Close,Adj Close,Volume,
2019-09-20,1,1.01,0.9989,1,1,"255,936",
2019-09-21,1,1.01,1,1,1,"172,854",
2019-09-22,1,1.01,0.9986,1,1,"150,590",
2019-09-23,1,1.01,0.9995,1,1,"1,532,224",
2019-09-24,1,1.06,0.9949,1.01,1.01,"4,110,761",
2019-09-25,1.01,1.01,0.9968,1.01,1.01,"909,108",
2019-09-26,1.01,1.03,0.9978,1.01,1.01,"1,413,787",
2019-09-27,1,1.01,1,1.01,1.01,"443,785",
2019-09-28,1.01,1.01,0.9946,1,1,"366,418",
2019-09-29,1,1.02,1,1,1,"269,667",
2019-09-30,1,1.02,0.9962,1,1,"756,625",
2019-10-01,1,1.01,0.9969,1,1,"886,134",
2019-10-02,1,1.01,0.9994,1,1,"570,248",
2019-10-03,1,1.01,0.9971,1,1,"416,832",
2019-10-04,1,1.01,1,1,1,"138,481",
2019-10-05,1,1.01,0.9968,1,1,"147,865",
2019-10-06,1,1.02,0.9984,1.01,1.01,"349,256",
2019-10-07,1.01,1.02,0.9949,1,1,"693,687",
2019-10-08,1,1.01,0.9996,1.01,1.01,"643,230",
2019-10-09,1.01,1.01,0.9944,1,1,"3,360,167",
2019-10-10,1,1,0.9967,1,1,"508,888",
2019-10-11,1,1.01,0.9897,1.01,1.01,"1,670,363",
2019-10-12,1.01,1.01,0.9999,1,1,"1,919,848",
2019-10-13,1,1.02,1,1,1,"2,979,555",
2019-10-14,1,1.01,0.9927,1,1,"3,424,847",
2019-10-15,1,1.01,0.9975,1,1,"4,316,438",
2019-10-16,1,1.01,1,1.01,1.01,"9,845,326",
2019-10-17,1.01,1.01,1,1,1,"10,052,146",
2019-10-18,1,1.02,1,1,1,"11,230,517",
2019-10-19,1,1.01,0.9983,1.01,1.01,"13,314,757",
2019-10-20,1.01,1.01,0.9969,1,1,"11,806,045",
2019-10-21,1,1.01,0.9988,1,1,"3,976,648",
2019-10-22,1,1.01,1,1,1,"4,428,319",
2019-10-23,1,1.04,1,1,1,"7,844,524",
2019-10-24,1,1.01,1,1.01,1.01,"5,361,020",
2019-10-25,1.01,1.01,0.9737,1,1,"14,491,067",
2019-10-26,1,1.01,0.9639,1,1,"28,625,935",
2019-10-27,1,1.01,0.9741,1,1,"16,315,121",
2019-10-28,1,1.01,0.975,1,1,"12,768,180",
2019-10-29,1,1.02,0.9916,1,1,"14,996,154",
2019-10-30,1,1.01,0.9967,1,1,"11,523,466",
2019-10-31,1.01,1.04,0.9954,1.01,1.01,"11,429,912",
2019-11-01,1.01,1.01,0.9993,1,1,"10,590,525",
2019-11-02,1,1.01,0.9961,1,1,"6,822,584",
2019-11-03,1,1.01,0.9976,1,1,"6,689,844",
2019-11-04,1,1.01,0.991,1,1,"16,579,982",
2019-11-05,1,1.01,0.9938,1,1,"17,643,924",
2019-11-06,1,1.01,0.9998,1,1,"12,042,603",
2019-11-07,1,1.01,0.9993,1.01,1.01,"10,929,254",
2019-11-08,1.01,1.01,1,1,1,"11,568,856",
2019-11-09,1,1.01,0.9992,1,1,"6,052,520",
2019-11-10,1,1.01,0.9877,1,1,"6,074,828",
2019-11-11,1,1.01,0.9997,1,1,"7,770,679",
2019-11-12,1,1.02,0.9995,1,1,"9,199,641",
2019-11-13,1,1.01,1,1,1,"6,501,847",
2019-11-14,1,1.01,1,1.01,1.01,"5,855,611",
2019-11-15,1.01,1.02,0.9969,1,1,"6,591,006",
2019-11-16,1,1.01,1,1.01,1.01,"3,389,578",
2019-11-17,1.01,1.02,1,1.01,1.01,"4,966,171",
2019-11-18,1.01,1.02,1.01,1.01,1.01,"7,750,970",
2019-11-19,1.02,1.03,1,1.01,1.01,"6,171,728",
2019-11-20,1.01,1.02,1,1.01,1.01,"4,228,836",
2019-11-21,1.01,1.03,1,1,1,"8,751,185",
2019-11-22,1,1.03,0.9929,1,1,"17,001,242",
2019-11-23,1,1.02,0.9976,1.01,1.01,"9,056,765",
2019-11-24,1.01,1.03,1,1.02,1.02,"15,997,568",
2019-11-25,1.01,1.03,0.9942,1,1,"11,044,639",
2019-11-26,1,1.02,0.9944,1.01,1.01,"6,040,980",
2019-11-27,1,1.03,0.9796,1,1,"9,622,841",
2019-11-28,1,1.03,0.9987,1,1,"8,198,705",
2019-11-29,1,1.01,0.9916,1,1,"9,195,672",
2019-11-30,1,1.01,0.9984,1,1,"4,949,503",
2019-12-01,1,1.03,0.9955,1,1,"10,456,834",
2019-12-02,1,1.02,0.9917,1,1,"6,672,171",
2019-12-03,1,1.01,0.9893,1,1,"5,369,515",
2019-12-04,1,1.02,0.9758,1.01,1.01,"12,884,312",
2019-12-05,1.01,1.03,0.9981,1.01,1.01,"9,000,321",
2019-12-06,1.01,1.01,0.9967,1,1,"8,264,418",
2019-12-07,1,1.01,1,1.01,1.01,"4,377,175",
2019-12-08,1.01,1.01,1,1.01,1.01,"4,008,907",
2019-12-09,1.01,1.01,0.9971,1.01,1.01,"7,498,093",
2019-12-10,1.01,1.01,1,1.01,1.01,"7,219,152",
2019-12-11,1.01,1.01,1,1,1,"5,187,924",
2019-12-12,1,1.01,0.9979,1.01,1.01,"6,170,781",
2019-12-13,1.01,1.01,1,1,1,"6,858,502",
2019-12-14,1,1.01,0.9977,1.01,1.01,"7,421,903",
2019-12-15,1.01,1.01,0.98,1.01,1.01,"5,619,519",
2019-12-16,1.01,1.02,1,1.01,1.01,"7,574,217",
2019-12-17,1.01,1.02,0.9949,1,1,"11,708,183",
2019-12-18,1,1.03,0.9893,1,1,"18,504,667",
2019-12-19,1,1.02,0.9922,1.01,1.01,"8,421,538",
2019-12-20,1.01,1.01,0.9925,1.01,1.01,"6,600,190",
2019-12-21,1.01,1.01,1,1.01,1.01,"4,018,127",
2019-12-22,1.01,1.01,0.9988,1,1,"8,032,229",
2019-12-23,1,1.01,0.9968,1,1,"11,438,541",
2019-12-24,1,1.03,1,1.01,1.01,"8,191,048",
2019-12-25,1.01,1.02,1,1.01,1.01,"4,813,420",
2019-12-26,1.01,1.02,0.9963,1.01,1.01,"5,945,002",
2019-12-27,1.01,1.02,0.998,1.01,1.01,"3,979,283",
2019-12-28,1.01,1.01,1,1,1,"3,228,214",
2019-12-29,1,1.03,1,1,1,"4,262,470",
2019-12-30,1,1.02,1,1.01,1.01,"4,002,995",
2019-12-31,1.01,1.01,1,1,1,"2,980,269",
2020-01-01,1,1.01,1,1,1,"1,695,088",
2020-01-02,1,1.01,0.9996,1,1,"4,504,462",
2020-01-03,1.01,1.01,0.986,1,1,"9,269,972",
2020-01-04,1,1.02,1,1.01,1.01,"5,469,981",
2020-01-05,1.01,1.02,1,1.01,1.01,"6,417,221",
2020-01-06,1.01,1.01,0.9982,1,1,"9,634,691",
2020-01-07,1,1.01,0.9963,1,1,"17,377,527",
2020-01-08,1,1.02,0.9914,1.01,1.01,"19,895,939",
2020-01-09,1,1.01,0.9977,1.01,1.01,"10,999,843",
2020-01-10,1.01,1.01,0.9945,1,1,"16,874,485",
2020-01-11,1,1.01,0.9946,1,1,"10,377,786",
2020-01-12,1,1.01,0.9954,1,1,"8,552,239",
2020-01-13,1,1.01,1,1,1,"6,559,771",
2020-01-14,1,1.02,0.9948,1,1,"31,457,556",
2020-01-15,1,1.02,0.9935,1,1,"24,048,476",
2020-01-16,1,1.01,0.9977,1,1,"14,683,140",
2020-01-17,1,1.01,0.9949,1,1,"27,046,579",
2020-01-18,1,1.01,0.9975,1,1,"20,869,913",
2020-01-19,1,1.03,0.9927,1,1,"21,625,114",
2020-01-20,1,1.01,0.9993,1,1,"13,827,741",
2020-01-21,1,1.01,0.9986,1,1,"15,017,622",
2020-01-22,1,1.01,1,1,1,"10,200,444",
2020-01-23,1,1.01,1,1,1,"19,562,230",
2020-01-24,1,1.01,0.9978,1,1,"18,332,840",
2020-01-25,1,1.01,1,1,1,"13,426,614",
2020-01-26,1,1.01,0.9993,1,1,"14,099,451",
2020-01-27,1,1.01,0.9952,1,1,"19,779,988",
2020-01-28,1,1.01,0.9929,0.9998,0.9998,"25,015,028",
2020-01-29,0.9996,1.01,0.9949,1,1,"20,810,480",
2020-01-30,1,1.01,0.9992,1,1,"20,571,220",
2020-01-31,1,1.01,0.9999,1,1,"19,372,175",
2020-02-01,1,1.01,0.9985,1,1,"19,905,598",
