Date,Open,High,Low,Close,Adj Close,Volume
2021-05-19,164.011505,178.696274,94.292450,124.280617,124.280617,652652876
2021-05-20,122.945610,222.144089,104.153831,165.561829,165.561829,1766366511
2021-05-21,164.195435,185.750687,120.154404,146.152527,146.152527,872795486
2021-05-22,146.200470,167.471313,125.532700,145.952866,145.952866,504331089
2021-05-23,146.259766,165.564209,120.999428,144.611465,144.611465,611510637
2021-05-24,144.173187,163.267410,135.898911,148.159531,148.159531,546965245
2021-05-25,147.782700,156.470047,123.848099,134.037247,134.037247,431735498
2021-05-26,134.166519,152.345657,132.169373,143.419464,143.419464,435275572
2021-05-27,142.912918,145.815384,130.001984,130.805328,130.805328,266639209
2021-05-28,131.830856,132.973541,110.301750,115.765274,115.765274,291887855
2021-05-29,115.801414,119.676056,106.082436,110.516777,110.516777,180885347
2021-05-30,110.579636,118.184334,104.685043,111.353195,111.353195,171767298
2021-05-31,111.457809,115.112747,105.563057,114.802010,114.802010,187751437
2021-06-01,114.714966,116.982101,106.552956,107.594193,107.594193,149595133
2021-06-02,107.601631,112.775024,102.705452,107.455544,107.455544,239196731
2021-06-03,107.506775,136.080765,105.252518,124.549248,124.549248,507675844
2021-06-04,null,null,null,null,null,null
2021-06-05,null,null,null,null,null,null
2021-06-06,104.577965,109.065247,102.749557,106.548225,106.548225,172718080
